City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2,Nikolskoye,RU,75.09,clear sky,59.7035,30.7861,Tourist House - Sablino
3,Longyearbyen,SJ,49.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
4,Lisakovsk,KZ,63.86,scattered clouds,52.5369,62.4936,Gostinitsa Lisakovsk
5,Thompson,CA,62.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
7,Busselton,AU,57.72,broken clouds,-33.65,115.3333,Observatory Guest House
8,Ilulissat,GL,57.22,broken clouds,69.2167,-51.1,Hotel Arctic
9,Coxim,BR,95.38,broken clouds,-18.5067,-54.76,Hotel Avenida
10,Baykalsk,RU,54.12,overcast clouds,51.5058,104.1469,"Otel' ""Mel'nitsa"""
11,Ushuaia,AR,31.66,shower snow,-54.8,-68.3,Albatross Hotel
12,Hermanus,ZA,47.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Victoria,HK,86.38,clear sky,22.2855,114.1577,Mini Central
15,Tiksi,RU,41.0,scattered clouds,71.6872,128.8694,Arktika
16,Vaini,TO,73.96,clear sky,-21.2,-175.2,Keleti Beach Resort
17,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
18,Mataura,NZ,38.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
19,Rikitea,PF,74.55,scattered clouds,-23.1203,-134.9692,People ThankYou
20,Awbari,LY,94.44,clear sky,26.5921,12.7805,فندق أوباري
21,Jiexiu,CN,76.62,broken clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
22,Barrow,US,44.62,clear sky,71.2906,-156.7887,King Eider Inn
23,Chuy,UY,62.24,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
24,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
25,Bluff,NZ,38.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
26,Mae Ramat,TH,77.79,moderate rain,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
27,Bredasdorp,ZA,49.24,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Guerrero Negro,MX,75.16,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
29,Cape Town,ZA,57.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
30,Vallenar,CL,62.56,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
31,Cairns,AU,69.06,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
32,Shingu,JP,77.77,broken clouds,33.7333,135.9833,Shingu UI Hotel
34,Qaanaaq,GL,45.9,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
35,Bandarbeyla,SO,76.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
36,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
37,Katsuura,JP,77.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
38,Hithadhoo,MV,81.07,moderate rain,-0.6,73.0833,Scoop Guest House
39,Sovetskiy,RU,57.97,scattered clouds,61.3614,63.5842,Apartment on Kievskaya 29
40,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
41,Dingle,PH,77.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
43,Xuanhua,CN,74.16,broken clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
44,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
45,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
46,Talnakh,RU,52.21,light rain,69.4865,88.3972,Talnakh Hotel
47,Jamestown,US,80.53,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
48,Chapais,CA,69.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
49,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
50,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Seagulls Inn Namatani
51,Houma,US,95.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
52,Kaitangata,NZ,43.03,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
53,Nhulunbuy,AU,71.08,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
54,Trairi,BR,82.98,overcast clouds,-3.2778,-39.2689,janelas do mar
55,Staraya Poltavka,RU,67.44,scattered clouds,50.4772,46.4814,"Hotel ""Oktyabrskaya"""
56,Smithers,CA,62.92,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
57,Ahipara,NZ,54.03,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
58,Kingsland,US,90.93,clear sky,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
61,Cidreira,BR,72.45,overcast clouds,-30.1811,-50.2056,Hotel Castelo
62,Saint Anthony,US,83.88,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
63,Yellowknife,CA,64.92,few clouds,62.456,-114.3525,The Explorer Hotel
64,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
65,Nakamura,JP,76.91,scattered clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
66,Mar Del Plata,AR,56.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
67,Scarborough,GB,64.78,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
68,Grindavik,IS,57.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
69,Carnarvon,AU,65.59,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
70,Lima,PE,66.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
71,Naron,ES,74.55,scattered clouds,43.5167,-8.1528,Marcial
72,Makakilo City,US,74.68,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
73,Bethel,US,93.36,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
75,Klaksvik,FO,50.92,scattered clouds,62.2266,-6.589,Airbnb rooms
76,Rovaniemi,FI,71.01,light intensity shower rain,66.5,25.7167,Arctic City Hotel
77,Hobart,AU,39.06,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
78,East London,ZA,62.56,clear sky,-33.0153,27.9116,Tu Casa
79,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
80,Sola,VU,80.6,few clouds,-13.8833,167.55,Leumerus Bungalows
81,Codrington,AU,47.01,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
82,Namtsy,RU,68.38,broken clouds,62.7161,129.6658,"""Эңсиэли Киин"""
83,Araci,BR,81.59,overcast clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
84,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
85,Punta Arenas,CL,35.71,few clouds,-53.15,-70.9167,Hotel Hain
86,Rosarito,MX,83.41,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
87,Namibe,AO,64.47,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
88,Faya,SA,69.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
89,Port Keats,AU,67.51,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
91,Nanortalik,GL,52.23,clear sky,60.1432,-45.2371,Hotel Kap Farvel
92,Esperance,AU,53.44,broken clouds,-33.8667,121.9,Hospitality Esperance
94,Valparaiso,CL,57.43,haze,-33.0393,-71.6273,Hotel Ultramar
95,Veraval,IN,82.0,overcast clouds,20.9,70.3667,Lords Inn Somnath
96,Atuona,PF,77.16,few clouds,-9.8,-139.0333,Villa Enata
97,Cururupu,BR,85.55,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
98,Flin Flon,CA,62.44,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
99,Nador,MA,84.27,scattered clouds,35.174,-2.9287,Hôtel La Giralda
100,Angoche,MZ,72.48,clear sky,-16.2325,39.9086,Guest House HESADA
102,Butaritari,KI,80.01,broken clouds,3.0707,172.7902,Isles Sunset Lodge
103,Pandan,PH,81.32,few clouds,14.0453,124.1694,Bonifacio Lodge
105,Vanimo,PG,78.22,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
106,Barcelos,PT,85.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
107,Ahuimanu,US,75.85,light rain,21.4447,-157.8378,Paradise Bay Resort
109,Yerkoy,TR,72.19,clear sky,39.6381,34.4672,Yerköy Öğretmenevi
110,Hofn,IS,55.42,broken clouds,64.2539,-15.2082,Hótel Höfn
112,Vila,PT,80.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
113,Dapaong,TG,85.26,overcast clouds,10.8639,0.205,Hotel Caroli
114,Geraldton,AU,61.63,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
115,Turukhansk,RU,56.75,broken clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
116,Ancud,CL,41.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
117,Sitka,US,55.29,overcast clouds,57.0531,-135.33,Westmark Sitka
118,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
119,Hay River,CA,64.38,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
120,La Ronge,CA,62.85,broken clouds,55.1001,-105.2842,Northland Motor Hotel
121,Lagoa,PT,72.82,broken clouds,39.05,-27.9833,Casa Das Faias
122,Norman Wells,CA,60.84,broken clouds,65.282,-126.8329,Heritage Hotel
123,Olafsvik,IS,52.47,broken clouds,64.8945,-23.7142,Hotel Olafsvik
124,Shache,CN,84.7,clear sky,38.4167,77.2406,Delong Hotel
126,Tigil,RU,53.37,few clouds,57.8,158.6667,Tigil'
128,Dwarka,IN,82.92,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
129,Kasongo,CD,79.92,scattered clouds,-4.45,26.6667,Guest Hôtel
130,Saldanha,ZA,51.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
131,Havre-Saint-Pierre,CA,73.76,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
132,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
133,Bengkulu,ID,75.63,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Koppang,NO,71.47,overcast clouds,61.5706,11.0555,Trya Camping
135,Laukaa,RU,74.66,clear sky,58.7372,29.8453,U Lysoy Gory Hotel
136,Basco,PH,85.26,clear sky,20.4487,121.9702,Nathaniel's Lodge
137,Jalu,LY,91.51,clear sky,29.0331,21.5482,صاحبة الفخامة
138,Dicabisagan,PH,80.94,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
139,Buluang,PH,78.06,scattered clouds,13.3068,123.3425,Sacueza Beach Resort
140,Castro,BR,72.68,clear sky,-24.7911,-50.0119,CHACARA BAILLY
141,Midleton,IE,64.65,overcast clouds,51.9153,-8.1805,Midleton Park Hotel
142,Altay,CN,63.39,overcast clouds,47.8667,88.1167,Jinqiao Hotel
143,Mayo,US,95.34,few clouds,38.8876,-76.5119,Resorts Resource Group International
144,Peniche,PT,78.3,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
145,Taman,RU,73.89,clear sky,45.2117,36.7161,Staryy Gorod G. Taman'
146,Kodiak,US,53.11,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
147,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
148,Mafeteng,LS,51.37,scattered clouds,-29.823,27.2374,Catholic Training Center
149,Mahibadhoo,MV,82.8,overcast clouds,3.7833,72.9667,Omadhoo Inn
151,Dezhou,CN,76.75,clear sky,37.4486,116.2925,Zhongtai International Hotel
152,Sao Filipe,CV,75.76,broken clouds,14.8961,-24.4956,Hotel Xaguate
153,Strezhevoy,RU,57.7,overcast clouds,60.7333,77.5889,Sibiryachka
154,Garden City,US,89.02,few clouds,42.3256,-83.331,Big Trees Mobile Home Community
155,Deputatskiy,RU,37.65,clear sky,69.3,139.9,Baza Otdykha
156,Ixtapa,MX,91.22,scattered clouds,20.7,-105.2,hotel la terminal
157,Upernavik,GL,47.25,light rain,72.7868,-56.1549,Café de Upernavik
158,Songjianghe,CN,59.88,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
159,Nantucket,US,82.54,mist,41.2835,-70.0995,Jared Coffin House
160,Dhidhdhoo,MV,81.72,overcast clouds,6.8833,73.1,Dhidhoo beach
161,Tasiilaq,GL,42.96,overcast clouds,65.6145,-37.6368,The Red House
162,Hongjiang,CN,76.82,broken clouds,27.11,109.9956,洪江大酒店
163,Gornyy,RU,59.74,light rain,55.1153,83.9059,Gostinyy Dvor
164,Hilo,US,76.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
165,Teodoro Sampaio,BR,87.78,scattered clouds,-22.5325,-52.1675,Hotel do Senhor
166,Dawlatabad,AF,93.24,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
167,Tazovskiy,RU,44.04,overcast clouds,67.4667,78.7,TazHostel
168,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
170,Dunedin,NZ,46.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
171,Lompoc,US,67.6,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
172,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
173,Fortuna,US,57.92,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
174,Youghal,IE,64.09,overcast clouds,51.95,-7.8506,Walter Raleigh Hotel
175,Faanui,PF,77.22,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Kautokeino,NO,57.02,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
177,Pimentel,PE,64.69,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
178,Akyab,MM,83.01,moderate rain,20.15,92.9,Hotel Memory
179,Farkhor,TJ,93.04,clear sky,37.4922,69.4036,Khonai Abdulkhayrov
180,Dharchula,IN,72.3,overcast clouds,29.85,80.5333,Mahara Hotel
182,North Myrtle Beach,US,90.09,clear sky,33.816,-78.68,Avista Resort
183,Sokoto,NG,87.06,broken clouds,13.0609,5.239,Grand Ibro Hotel
184,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
186,Aklavik,CA,57.2,shower rain,68.2191,-135.0107,Aklavik Inn
187,Moose Factory,CA,59.0,mist,51.2585,-80.6094,Cree Village Eco Lodge
188,Santiago Del Estero,AR,78.82,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
189,Hearst,CA,62.53,overcast clouds,49.6835,-83.6665,Companion
190,Progreso,MX,91.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
191,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
192,Ndola,ZM,66.04,overcast clouds,-12.9587,28.6366,Chabanga Lodge iSpot
194,Durres,AL,86.18,clear sky,41.3231,19.4414,Palace Hotel & Spa Durrës
195,Umtata,ZA,52.36,scattered clouds,-31.5889,28.7844,LLZZ Boutique Lodge
196,Ballina,AU,59.04,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
197,Esfarayen,IR,82.06,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
198,Melilla,ES,84.4,scattered clouds,35.2937,-2.9383,Hotel Anfora
199,Son La,VN,69.48,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
200,Siderno,IT,85.05,clear sky,38.2779,16.302,Grand Hotel President
201,Tinskoy,RU,59.54,overcast clouds,56.1525,96.9161,"Kemping ""Turist"""
202,Ngunguru,NZ,51.67,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
203,Charlestown,AU,62.73,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
204,Torbay,CA,76.87,broken clouds,47.6666,-52.7314,Gallows Cove
205,Kasane,BW,67.32,broken clouds,-17.8167,25.15,The Old House
206,Zabaykalsk,RU,68.05,few clouds,49.6333,117.3167,Zheleznyy Mir
207,Weiser,US,89.8,clear sky,44.251,-116.9693,The Colonial Motel
208,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
209,Guhagar,IN,78.75,overcast clouds,17.4842,73.1929,Hotel Seawinds
210,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
211,Cherskiy,RU,34.16,few clouds,68.75,161.3,Gostinitsa
212,Berlevag,NO,66.0,light rain,70.8578,29.0864,Kvitbrakka
213,Kloulklubed,PW,82.36,moderate rain,7.0419,134.2556,Storyboard Beach Resort
215,Lukavica,BA,92.16,clear sky,44.7628,18.1689,DUJA
216,New Norfolk,AU,38.71,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
217,Omboue,GA,74.8,broken clouds,-1.5746,9.2618,Hotel Olako
218,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
219,Tura,IN,75.78,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
220,Morondava,MG,73.2,clear sky,-20.2833,44.2833,La Case Bambou
221,Iqaluit,CA,40.73,overcast clouds,63.7506,-68.5145,Frobisher Inn
222,Fjerritslev,DK,71.46,broken clouds,57.0813,9.2664,Danhostel Fjerritslev
223,Husavik,IS,50.72,broken clouds,66.0449,-17.3389,Bjarnabúð
224,Ponta Do Sol,PT,75.13,clear sky,32.6667,-17.1,Hotel do Campo
225,Horta,PT,76.64,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
